Antall;Faregrad;Skredproblem;Skredutløser;Svakt lag;Skredtype;Hovedbudskap norsk
1;Fg1 (1);Våte løssnøskred  (1);Liten tilleggsbelastning (1);Ubunden snø (1);Våte løssnøskred  (1);Generelt stabile forhold. Høy temperaturer og solinnstråling gir fare for mindre våte skred. Vær spesielt oppmerksom nær terrengfeller.;Generally stable conditions. Warm temperatures and solar radiation give increased danger of wet avalanches. Pay particular attention to terrain traps. Glide avalanches are possible.
6;Fg1 (6);Våte løssnøskred  (6);Liten tilleggsbelastning (6);Ubunden snø (6);Våte løssnøskred  (6);Generelt stabile forhold. Høye dagtemperaturer gir fare for mindre våte skred. Enkelte glideskred kan også forekomme.;Generally stable conditions. Warm daytime-temperatures give increased danger of wet avalanches. Glide avalanches are possible.
17;Fg1 (17);Våte løssnøskred  (17);Liten tilleggsbelastning (17);Ubunden snø (17);Våte løssnøskred  (17);Generelt stabile forhold. Høye dagtemperaturer og solinnstråling gir fare for mindre våte skred utover ettermiddagen. Enkelte glideskred kan også forekomme.;Generally stable conditions. Warm daytime-temperatures and solar radiation give increased danger of wet avalanches during the afternoon. Glide avalanches are possible.
7;Fg1 (7);Våte løssnøskred  (7);Liten tilleggsbelastning (7);Ubunden snø (7);Våte løssnøskred  (7);Generelt stabile forhold. Høye dagtemperaturer og solinnstråling gir fare for mindre våte skred utover ettermiddagen. Vær spesielt oppmerksom nær terrengfeller.;Generally stable conditions. Warm daytime-temperatures and solar radiation give increased danger of wet avalanches during the afternoon. Pay particular attention to terrain traps.
12;Fg1 (12);Våte løssnøskred  (12);Liten tilleggsbelastning (12);Ubunden snø (12);Våte løssnøskred  (12);Generelt stabile forhold. Høye dagtemperaturer og solinnstråling gir fare for mindre våte skred. Enkelte glideskred kan også forekomme.;Generally stable conditions. Warm daytime-temperatures and solar radiation give increased danger of wet avalanches. Glide avalanches are possible.
1;Fg1 (1);Våte løssnøskred  (1);Liten tilleggsbelastning (1);Ubunden snø (1);Våte løssnøskred  (1);Generelt stabile forhold. Høye dagtemperaturer og solinnstråling gir fare for mindre våte skred. Vær spesielt oppmerksom nær terrengfeller.;Generally stable conditions. Warm daytime-temperatures and solar radiation give increased danger of wet avalanches. Pay particular attention to terrain traps.
2;Fg1 (2);Våte løssnøskred  (2);Liten tilleggsbelastning (2);Ubunden snø (2);Våte løssnøskred  (2);Generelt stabile forhold. Høye temperaturer og solinnstråling gir fare for mindre, våte skred. Vær oppmerksom nær terrengfeller.;Generally stable conditions. Warm temperatures and solar radiation give increased danger of wet avalanches. Pay particular attention to terrain traps. Glide avalanches are possible.
2;Fg1 (2);Fokksnø (2), Vedvarende svakt lag (2);Stor tilleggsbelastning (4);Dårlig binding mellom lag i fokksnøen (2), Kantkornet snø under skarelag (2);Tørre flakskred (4);Generelt stabile forhold. I enkelte områder kan det være ustabil fokksnø.;Be aware of isolated wind slabs, otherwise stable conditions. Persistent weak layers can be triggered with very high additional loads.
3;Fg1 (3);Vedvarende svakt lag (3), Fokksnø (1);Liten tilleggsbelastning (3), Stor tilleggsbelastning (1);Nedsnødd eller nedføyket kantkornet snø (3), Nedføyket svakt lag med nysnø (1);Tørre flakskred (4);Generelt stabile forhold. I skoggrensen er det ustabile forhold pga. vedvarende svakt av kantkorn. Drønn er tegn på fare.;Generally safe avalanche conditions. There is a persistent weak layer in the snow pack that can be triggered where the snowpack is thin. Be aware of "whumps" espesially around the treeline.
6;Fg1 (5), Fg2 (1);Fokksnø (6), Vedvarende svakt lag (3);Stor tilleggsbelastning (9);Dårlig binding mellom lag i fokksnøen (6), Kantkornet snø under skarelag (3);Tørre flakskred (9);Generelt stabile forhold. Innblåst fokksnø og vedvarande svake lag kan påvirkes ved stor tilleggsbelastning.;Be careful in areas with windslabs. A persistent weak layer of facets may be triggered, especially where the snow cover is thin.
3;Fg1 (3);Fokksnø (3);Stor tilleggsbelastning (2), Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (3);Tørre flakskred (3);Generelt stabile forhold. Lengst sør i regionen kan det være små ustabile områder.;Generally stable conditions. The southern parts of the region received 5 cm of new snow on Tuesday, and some instability is expected. Persistent weak layers are present in the snowpack, but not reactive.
4;Fg1 (4);Vedvarende svakt lag (4);Liten tilleggsbelastning (4);Nedsnødd eller nedføyket kantkornet snø (2), Nedsnødd eller nedføyket overflaterim (2);Tørre flakskred (4);Generelt stabile forhold. Lokalt kan fokksnøen ligge over vedvarende svakt lag. Vær likevel forsiktig i bratt terreng der fokksnøflakene er tynne og/eller myke.;Generally stable conditions. In some isolated areas you may find persistent weak layers underneath the windslabs. Be therefore careful in steep terrain, especially where windslabs are thin or soft, a slab avalanche is easier to trigger here.
3;Fg2 (3);Vedvarende svakt lag (3), Fokksnø (2), Nysnøflak (1);Stor tilleggsbelastning (6);Nedføyket svakt lag med nysnø (3), Kantkornet snø ved bakken (3);Tørre flakskred (6);Generelt stabile forhold. Men vær forsiktig i leområder med mye fokksnø, særlig i eller nært terrengfeller. Det finnes områder med svake lag i snødekket.;Generally stable conditions. But be aware of areas with unstable windslabs, especially close to terrain traps. Be also aware that there can be pockets with persistent weak layers in the snowpack.
2;Fg1 (2);Våte løssnøskred  (2), Nysnøflak (2);Liten tilleggsbelastning (2), Stor tilleggsbelastning (1), Naturlig utløst (1);Ubunden snø (2), Nedføyket svakt lag med nysnø (2);Våte løssnøskred  (2), Tørre flakskred (2);Generelt stabile forhold. Men vær varsom i solvendte brattheng og der det er nysnøfkak i høyden.;Generally stable conditions. Be careful in sun exposed steep slopes and in areas with storm slabs at higher elevations.
4;Fg1 (4);Våte løssnøskred  (4), Nysnøflak (4);Stor tilleggsbelastning (4), Liten tilleggsbelastning (3), Naturlig utløst (1);Ubunden snø (4), Nedføyket svakt lag med nysnø (4);Våte løssnøskred  (4), Tørre flakskred (4);Generelt stabile forhold. Men vær varsom i solvendte brattheng og der det er nysnøflak i høyden.;Generally stable conditions. Be careful in sun exposed steep slopes and in areas with storm slabs at higher elevations.
2;Fg1 (2);Fokksnø (2);Stor tilleggsbelastning (2);Dårlig binding mellom lag i fokksnøen (2);Tørre flakskred (2);Generelt stabile forhold. Små fokksnøflak kan løsne i bratte, isolerte heng.;Generally stable conditions, but wind slabs can be present in isolated features.
3;Fg1 (3);Fokksnø (2);Stor tilleggsbelastning (2);Dårlig binding mellom lag i fokksnøen (2);Tørre flakskred (2);Generelt stabile forhold. Snøoverflaten er hard, og det er størst fare for deg som skiløper at du kan skli på den harde overflaten.;Generally stable conditions. The snow surface is compact and hard and skiing may be a challenge. Remember to bring crampons and sharpen the egdes on your skies. Persistent weak layer are forming, but not reactive at the moment.
1;Fg1 (1);Våte løssnøskred  (1);Naturlig utløst (1);Ubunden snø (1);Våte løssnøskred  (1);Generelt stabile forhold. Sola og stigende temperaturer vil myke opp snøoverflaten utover dagen og øker faren for små våte skred i bratt terreng.;Generally stable conditions. Temperature rise and solar radiation give increased danger of wet avalanches.
1;Fg1 (1);Våte løssnøskred  (1);Liten tilleggsbelastning (1);Ubunden snø (1);Våte løssnøskred  (1);Generelt stabile forhold. Sola og stigende temperaturer vil myke opp snøoverflaten utover dagen og øker muligheten for små våte skred i bratt terreng.;Generally stable conditions. Temperature rise and solar radiation give increased danger of wet avalanches.
6;Fg1 (6);Våte løssnøskred  (6);Liten tilleggsbelastning (3), Naturlig utløst (3);Ubunden snø (6);Våte løssnøskred  (6);Generelt stabile forhold. Sola og stigende temperaturer vil myke opp snøoverflaten utover dagen og øker sjansen for små våte skred i bratt terreng.;Generally stable conditions. Temperature rise and solar radiation give increased danger of wet avalanches.
4;Fg1 (4);Våte løssnøskred  (4);Liten tilleggsbelastning (4);Ubunden snø (4);Våte løssnøskred  (4);Generelt stabile forhold. Stigande temperaturar vil mjuke opp snøoverflata utover dagen.;Generally stable conditions. Temperature rise and solar radiation give softer snowsurface.
1;Fg1 (1);Våte løssnøskred  (1);Liten tilleggsbelastning (1);Ubunden snø (1);Våte løssnøskred  (1);Generelt stabile forhold. Temperaturauke gjennom dagen vil mjuke opp snøoverflata.;Generally stable conditions. Temperature rise and solar radiation give softer snowsurface.
2;Fg1 (2);Våte løssnøskred  (2);Liten tilleggsbelastning (2);Ubunden snø (2);Våte løssnøskred  (2);Generelt stabile forhold. Temperaturauke utover dagen vil mjuke opp snøoverflata.;Generally stable conditions. Temperature rise and solar radiation give softer snowsurface.
1;Fg1 (1);Vedvarende svakt lag (1);Stor tilleggsbelastning (1);Kantkornet snø under skarelag (1);Tørre flakskred (1);Generelt stabile forhold. Ustabil fokksnø har liten utbredelse og kantkorn under skarelag er vanskelig å påvirke.;Generally safe avalanche conditions. Unstable windslabs are rare and faceted snow below crust is hard to affect.
7;Fg1 (7);Våte løssnøskred  (7);Liten tilleggsbelastning (7);Ubunden snø (7);Våte løssnøskred  (7);Generelt stabile forhold. Utover dagen myknes snøoverflaten og våte løsnøskred kan utløses. Vær spesielt oppmerksom nær terrengfeller.;Generally stable conditions, but danger of wet avalanches in sunexposed mountainsides. Pay particular attention to terrain traps.
4;Fg1 (4);Vedvarende svakt lag (4);Stor tilleggsbelastning (4);Kantkornet snø under skarelag (4);Tørre flakskred (4);Generelt stabile forhold. Vedvarande svake lag kan påvirkes ved stor tilleggsbelastning i isolerte heng.;Generally stable conditions. Be aware that there can be pockets with persistent weak layer beneath the hard surface.
2;Fg1 (2);Vedvarende svakt lag (3);Stor tilleggsbelastning (3);Kantkornet snø under skarelag (2), Nedsnødd eller nedføyket overflaterim (1);Tørre flakskred (3);Generelt stabile forhold. Vedvarande svake lag kan påvirkes ved stor tilleggsbelastning i spesielle, isolerte heng.;Generally stable conditions. Be aware that there can be pockets with persistent weak layer beneath the hard surface.
3;Fg2 (3);Vedvarende svakt lag (2), Fokksnø (1);Stor tilleggsbelastning (3);Kantkornet snø under skarelag (2), Dårlig binding mellom lag i fokksnøen (1);Tørre flakskred (3);Generelt stabile forhold. Vedvarande svakt lag kan påvirkes hvor vinden har blåst inn fokksnø den siste uken.;Generally safe avalanche conditions. There is a persistent weak layer under wind slabs that can be triggered where the snowpack is thin. Wind slabs are mainly expected in west faces.
2;Fg1 (2);Vedvarende svakt lag (2);Stor tilleggsbelastning (2);Kantkornet snø under skarelag (2);Tørre flakskred (2);Generelt stabile forhold. Vedvarande svakt lag under fokksnø kan påvirkes ved stor tilleggsbelastning i isolerte heng.;Generally safe avalanche conditions. Wind slabs are mainly expected in west faces, but small slabs can be affected by high additional loads. Persistent weak layers are observed in the region, but it is expected unlikely to trigger avalanche because of this layer due to hard, solid snow at the surface.
3;Fg1 (3);Vedvarende svakt lag (3);Stor tilleggsbelastning (3);Kantkornet snø ved bakken (2), Kantkornet snø under skarelag (1);Tørre flakskred (3);Generelt stabile forhold. Vedvarande svakt lag ved bakken kan påverkast der snødekket er tynt.;Generally safe avalanche conditions. There is a persistent weak layer at the ground that can be triggered where the snowpack is thin.
1;Fg1 (1);Vedvarende svakt lag (1);Stor tilleggsbelastning (1);Kantkornet snø under skarelag (1);Tørre flakskred (1);Generelt stabile forhold. Vedvarende svake lag kan påvirkes der snødekket er tynt.;Generally safe avalanche conditions. There is persistent weak layers that can be triggered where the snowpack is thin.
14;Fg1 (14);Vedvarende svakt lag (14), Fokksnø (2);Stor tilleggsbelastning (14), Liten tilleggsbelastning (2);Nedsnødd eller nedføyket kantkornet snø (6), Kantkornet snø under skarelag (4), Kantkornet snø ved bakken (4), Dårlig binding mellom glatt skare og overliggende snø (1), Nedføyket svakt lag med nysnø (1);Tørre flakskred (16);Generelt stabile forhold. Vedvarende svakt lag kan påvirkes der snødekket er tynt.;Generally safe avalanche conditions. There is a persistent weak layer that can be triggered where the snowpack is thin.
1;Fg1 (1);Vedvarende svakt lag (1);Stor tilleggsbelastning (1);Kantkornet snø ved bakken (1);Tørre flakskred (1);Generelt stabile forhold. Vedvarende svakt lag kan påvirkes enkelte steder.;Generally safe avalanche conditions. There is a persistent weak layer that can be triggered.
7;Fg1 (7);Vedvarende svakt lag (7);Stor tilleggsbelastning (7);Kantkornet snø under skarelag (7);Tørre flakskred (7);Generelt stabile forhold. Vedvarende svakt lag ved bakken kan påvirkes der snødekket er tynt.;Generally safe avalanche conditions. There is a persistent weak layer at the ground that can be triggered where the snowpack is thin.
