Antall	Faregrad	Hovedskredproblem	Skredproblem	Skredtype	Hovedbudskap norsk	Hovedbudskap engelsk
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	Regn/temperaturstigning (1), I fokksnøen (1)	Tørre flakskred (1), Våte flakskred (1)	Lokalt ustabile forhold. Fare for våte snøskred. Vær spesielt varsom i bratte solutsatte fjellsider.	Heightened avalanche conditions on specific terrain features. Strong solar radiation may lead to natural avalanche activity.
1	Fg2 (1)	Nysnø (1)	Ubundet løs snø (1)	Tørre løssnøskred (1)	Lokalt ustabile forhold. Følg med om det blir vind, da vil snøen binde seg og kunne løsne som flak.	Heightened avalanche conditions on specific terrain features. Use caution in areas with recently formed storm slabs. Its time to switch to spring mode and remember to use slightly different approaches on wet and dry snow.
1	Fg2 (1)	Nysnø (1)	Ubundet løs snø (1)	Tørre løssnøskred (1)	Lokalt ustabile forhold. Følg med om det blir vind, da vil snøen binde seg og løsne som flak.	Heightened avalanche conditions on specific terrain features. Use caution in areas with recently formed storm slabs. Its time to switch to spring mode and remember to use slightly different approaches on wet and dry snow.
2	Fg2 (2)	Fokksnø (2), Våt snø (2)	Lag med løs nysnø (2), Regn/temperaturstigning (2)	Tørre flakskred (2), Våte løssnøskred (2)	Lokalt ustabile forhold. Ha til ulik tilnærming til vått og tørt snødekke. Fare for ustabile fokksnøflak i høyden.	Heightened avalanche conditions on specific terrain features. Use caution in areas with recently formed storm slabs. Its time to switch to spring mode and remember to use slightly different approaches on wet and dry snow.
6	Fg2 (6)	Fokksnø (6), Våt snø (6)	Regn/temperaturstigning (6), I fokksnøen (6)	Tørre flakskred (6), Våte løssnøskred (6)	Lokalt ustabile forhold. Ha ulik tilnærming til vått og tørt snødekke. Fare for ustabile fokksnøflak i høyden.	Heightened avalanche conditions on specific terrain features. Use caution in areas with recently formed storm slabs. Its time to switch to spring mode and remember to use slightly different approaches on wet and dry snow.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	I fokksnøen (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Lokalt ustabile forhold. Ha ulik tilnærming til vått og tørt snødekke. Fare for ustabile fokksnøflak i høyden. Faren for våte skred øker utover dagen.	Heightened avalanche conditions on specific terrain features. Use caution in areas with recently formed storm slabs. Its time to switch to spring mode and remember to use slightly different approaches on wet and dry snow.
9	Fg2 (9)	Fokksnø (9), Våt snø (9)	Lag med løs nysnø (9), Regn/temperaturstigning (9)	Tørre flakskred (9), Våte løssnøskred (9)	Lokalt ustabile forhold. Ha ulik tilnærming til vått og tørt snødekke. Fare for ustabile nysnøflak i høyden.	Heightened avalanche conditions on specific terrain features. Use caution in areas with recently formed storm slabs. Its time to switch to spring mode and remember to use slightly different approaches on wet and dry snow.
6	Fg2 (6)	Fokksnø (6), Våt snø (6)	Lag med løs nysnø (6), Regn/temperaturstigning (6)	Tørre flakskred (6), Våte løssnøskred (6)	Lokalt ustabile forhold. Ha ulik tilnærming til vått og tørt snødekke. Fare for ustabile nysnøflak i høyden. Fare for våte skred øker utover dagen.	Heightened avalanche conditions on specific terrain features. Use caution in areas with recently formed storm slabs. Its time to switch to spring mode and remember to use slightly different approaches on wet and dry snow.
1	Fg2 (1)	Vedvarende svakt lag (1), Våt snø (1)	Regn/temperaturstigning (1), Kantkornet over skaren (1)	Våte flakskred (1), Våte løssnøskred (1)	Lokalt ustabile forhold. Husk at selv små skred kan være farlige i/ved terrengfeller.	Locally unstable conditions. Remember that small avalanches can be dangerous in terrain traps.
6	Fg2 (6)	Fokksnø (9)	I fokksnøen (6), Lag med løs nysnø (3)	Tørre flakskred (9)	Lokalt ustabile forhold. Kraftig vind har gitt nysnøflak i leområder.	Generally expect a hard and stable snow pack. Be cautious in steep terrain with windtransported snow. Small wind slabs could still be triggered.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med kantkornet snø (1)	Tørre flakskred (2)	Lokalt ustabile forhold. Lag med fokksnø og kantkorn er aktive. Vær oppmerksom på nysnøflak.	Be cautious in steep terrain, small wind slabs could be triggered. But generally expect a hard and stable snow pack. Some whoopfhing due to a buried layer of facets.
7	Fg2 (7)	Fokksnø (7), Vedvarende svakt lag (5)	Lag med løs nysnø (6), Kantkornet under skaren (4), I fokksnøen (1), Lag med kantkornet snø (1)	Tørre flakskred (12)	Lokalt ustabile forhold. Nysnø og vind har dannet nysnøflak i høyden.	Heightened avalanche conditions. Be cautious in steep terrain, storm slabs can be triggered. But generally expect a hard and stable snow pack. Some whumpfing due to a buried layer of facets is sign of the weak layer.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Kantkornet under skaren (1)	Tørre flakskred (2)	Lokalt ustabile forhold. Nysnøflak i høyfjellet kan være ustabil. Faren for våte flakskred minker, men ikke helt borte.	Local unstable conditons. Be careful in areas with new and fresh stormslabs. The possiblity for natural triggered wet slab avalanches decreases.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Lokalt ustabile forhold. Nysnøflak i høyfjellet kan være ustabil. Forventes enkelte våte løssnøskred i lavlandet.	Local unstable conditons. Be careful in areas with new and fresh stormslabs. Some small wet losesnow avalanche are expected.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Kantkornet under skaren (1)	Tørre flakskred (1), Våte flakskred (1)	Lokalt ustabile forhold. Nysnøflak i høyfjellet kan være ustabile. Faren for våte flakskred minker, men er ikke helt borte.	Local unstable conditons. Be careful in areas with new and fresh stormslabs. The possiblity for natural triggered wet slab avalanches decreases.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Glatt skare (1)	Tørre flakskred (2)	Lokalt ustabile forhold. Polart lavtrykk kan gi store lokale forskjeller i nysnømengde. Nysnøen vil stedvis legge seg rett på glatt skare.	Moderate conditions. Low pressure may cause large local differences in precipitation and wind. Storm slab will form directly onto crust layer and areas with buried layer of surface hoar.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	I fokksnøen (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Lokalt ustabile forhold. Problemet er flakskred i høyden og løssnøskred i bratte fjellsider der sola tar tak.	Heightened avalanche conditions on specific terrain features. Use caution in areas with recently formed storm slabs. Its time to switch to spring mode and remember to use slightly different approaches on wet and dry snow.
2	Fg2 (2)	Fokksnø (2), Våt snø (2)	I fokksnøen (2), Regn/temperaturstigning (2)	Tørre flakskred (2), Våte løssnøskred (2)	Lokalt ustabile forhold. Problemet er flakskred i høyden.	Heightened avalanche conditions on specific terrain features. Use caution in areas with recently formed storm slabs. Its time to switch to spring mode and remember to use slightly different approaches on wet and dry snow.
3	Fg2 (3)	Fokksnø (3), Våt snø (3)	I fokksnøen (3), Regn/temperaturstigning (3)	Tørre flakskred (3), Våte løssnøskred (3)	Lokalt ustabile forhold. Problemet er tørrsnø i høyden og våte løssnøskred i bratte fjellsider der sola tar tak.	Heightened avalanche conditions on specific terrain features. Use caution in areas with recently formed storm slabs. Its time to switch to spring mode and remember to use slightly different approaches on wet and dry snow.
2	Fg3 (2)	Fokksnø (2)	Lag med løs nysnø (2)	Tørre flakskred (2)	Lokalt ustabile forhold. Unngå leområder som har samlet mye snø.	Avoid areas with wind deposited snow.
1	Fg2 (1)	Fokksnø (2)	Lag med løs nysnø (1), I fokksnøen (1)	Tørre flakskred (2)	Lokalt ustabile forhold. Utvis varsom i områder med ferske fokksnøflak i høyfjellet.	Heightened avalanche conditions on specific terrain. Strong winds and percipitation have formed wind slabs in the Alpine. Mild temperatures will cause rapid decrease in the danger.
2	Fg2 (2)	Fokksnø (4)	Lag med løs nysnø (2), I fokksnøen (2)	Tørre flakskred (4)	Lokalt ustabile forhold. Utvis varsomhet i leområder med ferske fokksnøflak. Oppsprekking av snødekket er et nøkkeltegn på ustabilitet.	Heightened avalanche conditions on specific terrain features. Wind slabs can be triggered by moderate loads, eg. smaller group of skiers. Lots of naturally triggered loose dry/wet avalanches size 1-2, some size 2 dry slabs the last week. Avalanche incident in the region on Saturday.
3	Fg2 (3)	Fokksnø (6)	Lag med løs nysnø (3), I fokksnøen (3)	Tørre flakskred (6)	Lokalt ustabile forhold. Utvis varsomhet i leområder med ferske fokksnøflak. Oppsprekking av snødekket er et nøkkeltegn.	Heightened avalanche conditions on specific terrain features. Wind slabs can be triggered by moderate loads, eg. smaller group of skiers. Lots of naturally triggered loose dry/wet avalanches size 1-2, some size 2 dry slabs the last week.
1	Fg2 (1)	Fokksnø (2)	Lag med løs nysnø (1), I fokksnøen (1)	Tørre flakskred (2)	Lokalt ustabile forhold. Utvis varsomhet i leområder med ferske fokksnøflak. Oppsprekking av snødekket er et nøkkeltegn. Fare for våte skred i lavlandet mandag.	Heightened avalanche conditions on specific terrain features. Wind slabs can be triggered by moderate loads, eg. smaller group of skiers. Lots of naturally triggered loose dry/wet avalanches size 1-2, some size 2 dry slabs the last week. Avalanche incident in the region on Thursday.
3	Fg2 (3)	Fokksnø (3)	I fokksnøen (3)	Tørre flakskred (3)	Lokalt ustabile forhold. Utvis varsomhet i leområder og forsenkninger hvor det ligger fersk fokksnø.	Heightend avalanche conditions on specific terrain features. Wind slabs can be triggered by larger loads, eg. group of skiers. Little has happened in the region lately. The alpine is mostly windswept and riding conditions is somewhat poor.
2	Fg2 (2)	Fokksnø (2), Våt snø (2)	Lag med løs nysnø (2), Snødekket er overmettet av vann (2)	Tørre flakskred (2), Våte løssnøskred (2)	Lokalt ustabile forhold. Våte snøskred kan løses ut der snøen er fuktig.	Heightened avalanche danger. Wet avalanche can be triggered where the snow is moist.
3	Fg2 (3)	Vedvarende svakt lag (3), Fokksnø (3)	I fokksnøen (3), Kantkornet under skaren (3)	Tørre flakskred (6)	Lokalt ustabile forhold. Vær forsiktig der det ligger fersk fokksnø i høyden, ellers generelt stabilt og hardt snødekke.	Be cautious in steep terrain with wind slabs which could be triggered. But generally expect a hard and stable snow pack. A layer of facets is lingering in the snowpack.
7	Fg2 (7)	Vedvarende svakt lag (7), Fokksnø (7)	I fokksnøen (7), Kantkornet under skaren (7)	Tørre flakskred (14)	Lokalt ustabile forhold. Vær forsiktig der det ligger fersk fokksnø.	Be careful in areas with fresh wind slab. There are still weak layers in the snowpack
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med overflaterim (1)	Tørre flakskred (2)	Lokalt ustabile forhold. Vær forsiktig der det ligger innblåst fokksnø i høyden. Det finnes fremdeles svake lag i snødekket i høyfjellet.	The main problem is areas with wind slabs. There is still a weak layer of surface hoar in the snowpack, but has not proved active lately.
2	Fg2 (2)	Fokksnø (2), Våt snø (2)	Lag med løs nysnø (2), Regn/temperaturstigning (2)	Tørre flakskred (2), Våte løssnøskred (2)	Lokalt ustabile forhold. Vær forsiktig i bratte solvendte heng, særlig utover dagen.	Local unstable conditions. Be careful in sun exposed steep slopes, the danger increases with temperature during the day. Keep an eye for isolated stormslabs in the higher mountains exposed for sun during the day.
2	Fg2 (2)	Fokksnø (2)	I fokksnøen (2)	Tørre flakskred (2)	Lokalt ustabile forhold. Vær forsiktig i brattheng med fersk innblåste flak av fokksnø.	Local unstable conditions. Avoid steep terrain with windslabs.
1	Fg2 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Lokalt ustabile forhold. Vær forsiktig i brattheng med fersk innblåste flak av nysnø.	Local unstable conditions. Avoid steep terrain with new and fresh stormslabs.
1	Fg2 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Lokalt ustabile forhold. Vær forsiktig i hvor det samler seg fersk fokksnø, typisk bak rygger, i søkk og renneformasjoner.	Local unstable conditions. Be careful in areas with wind deposited snow, typically behind ridges, ribs and in gullies.
5	Fg2 (5)	Fokksnø (5)	Lag med løs nysnø (5)	Tørre flakskred (5)	Lokalt ustabile forhold. Vær forsiktig i leområder der vinden får tak.	Be careful in lee areas where the wind is strong enough to move the snow.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Lag med overflaterim (1)	Tørre flakskred (2)	Lokalt ustabile forhold. Vær forsiktig i leområder der vinden har lagt igjen flak av fokksnø.	Locally unstable conditions. Be careful in lee areas with fresh wind deposited snow.
3	Fg2 (3)	Fokksnø (3), Våt snø (3)	I fokksnøen (3), Regn/temperaturstigning (3)	Tørre flakskred (3), Våte løssnøskred (3)	Lokalt ustabile forhold. Vær forsiktig i leområder hvor det har samlet seg fokksnø, typisk bak rygger, i søkk og renneformasjoner.	Heightened avalanche conditions on specific terrain features. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	I fokksnøen (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Lokalt ustabile forhold. Vær forsiktig i leområder hvor det har samlet seg fokksnø, typisk bak rygger, i søkk og renneformasjoner. Solen kan utløse skred.	Heightened avalanche conditions on specific terrain features. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, an avalanche is easier to trigger here. Natural triggered avalanches on sun-exposed slopes possible.
